gene1,gene2,GI_scores,gene1_primekgindex,gene2_primekgindex,label,cell_id
AARS2,POLD1,-0.8055845261810001,1675,4339,0.0,2
AARS2,POLE,0.104916287972,1675,8484,0.0,2
AARS2,POLN,0.8832417596109999,1675,57396,0.0,2
AARS2,POLR2B,0.1654110634459999,1675,1674,0.0,2
AARS2,POLR2K,0.295292774644,1675,3525,0.0,2
AARS2,POLR3A,0.28240174439,1675,3242,0.0,2
AARS2,POLR3B,-0.68984042522,1675,10198,0.0,2
AARS2,PPAT,0.791478264968,1675,6841,0.0,2
AARS2,PPCS,0.131735359045,1675,13781,0.0,2
AARS2,PPIE,-1.7164215507299998,1675,5629,0.0,2
AARS2,PPP2R1A,-0.176720591775,1675,1184,0.0,2
AARS2,PPWD1,-0.394494615119,1675,13641,0.0,2
AARS2,PRIM2,-0.628129443085,1675,2483,0.0,2
AARS2,PRMT5,-0.2016816796599999,1675,7026,0.0,2
AARS2,PSMB6,0.226664809216,1675,3396,0.0,2
AARS2,PSMB7,0.0188821402327,1675,2657,0.0,2
AARS2,PSMC1,-0.857739321251,1675,1765,0.0,2
AARS2,PSMC2,-0.0310571953654,1675,1720,0.0,2
AARS2,PSMD12,0.7575406062700001,1675,3542,0.0,2
AARS2,PSMD4,-0.280553282761,1675,2227,0.0,2
AARS2,PSMD6,0.287136582205,1675,879,0.0,2
AARS2,PSPH,-0.064164172959,1675,13105,0.0,2
AARS2,PTCD1,0.7148550390170001,1675,5906,0.0,2
AARS2,PTCD3,0.283793534442,1675,8812,0.0,2
AARS2,PTTG1,-1.68922952727,1675,11077,0.0,2
AARS2,PWP1,-0.8513761990009999,1675,8848,0.0,2
AARS2,RAD51,-0.130951613031,1675,1181,0.0,2
AARS2,RAE1,-0.142947398985,1675,7436,0.0,2
AARS2,RBBP8,0.142793530493,1675,3735,0.0,2
AARS2,RBFA,1.0774463234,1675,1011,0.0,2
AARS2,RBM17,-0.5070605263769999,1675,8330,0.0,2
AARS2,RBM25,-0.175734029851,1675,9776,0.0,2
AARS2,REXO2,1.12390687131,1675,59354,0.0,2
AARS2,RFC4,-0.132112684746,1675,4834,0.0,2
AARS2,RFC5,-0.156534455085,1675,6022,0.0,2
AARS2,RINT1,-0.287355842953,1675,4722,0.0,2
AARS2,RNF20,0.281894130365,1675,8364,0.0,2
AARS2,RNGTT,-0.1332365962,1675,6776,0.0,2
AARS2,ROMO1,-0.817180577772,1675,57038,0.0,2
AARS2,RPA3,1.7831246423299998,1675,3286,0.0,2
AARS2,RPF2,0.300612043843,1675,12910,0.0,2
AARS2,RPL10,0.612792042852,1675,383,0.0,2
AARS2,RPL11,0.957835766969,1675,827,0.0,2
AARS2,RPL23,-0.587175277989,1675,1729,0.0,2
AARS2,RPL24,1.43837944004,1675,4869,0.0,2
AARS2,RPL27,-0.579616814234,1675,1518,0.0,2
AARS2,RPL28,-0.234764367567,1675,3902,0.0,2
AARS2,RPL3,-0.545230157204,1675,1454,0.0,2
AARS2,RPL30,0.741154310875,1675,3217,0.0,2
AARS2,RPL32,-1.02810586594,1675,2881,0.0,2
AARS2,RPL35,0.21038449295,1675,2496,0.0,2
AARS2,RPL36A,0.6550409590640001,1675,7966,0.0,2
AARS2,RPL5,0.587122172812,1675,59,0.0,2
AARS2,RPLP1,-0.431379969604,1675,1051,0.0,2
AARS2,RPLP2,-0.72103963737,1675,3639,0.0,2
AARS2,RPP30,0.368960147801,1675,8721,0.0,2
AARS2,RPP38,-0.513227315143,1675,4365,0.0,2
AARS2,RPS18,0.911616763961,1675,7352,0.0,2
AARS2,RPS27A,-0.37345617107,1675,765,0.0,2
AARS2,RPS28,0.707534250141,1675,4789,0.0,2
AARS2,RPSA,0.399994362628,1675,2162,0.0,2
AARS2,RPTOR,0.0354266721655,1675,3441,0.0,2
AARS2,RRM1,-0.570151547397,1675,5012,0.0,2
AARS2,RTF1,0.104308514151,1675,7125,0.0,2
AARS2,SAP18,1.02532575175,1675,1268,0.0,2
AARS2,SCO1,0.6104514991309999,1675,5488,0.0,2
