cell_name,protein,protein_name,primekg_index,cell_id,ncbi_id
A375,847,PPP2R2C,2882,0,5522
A375,857,RNF113B,13446,0,140432
A375,858,CAMP,2739,0,820
A375,870,ATP1A3,11214,0,478
A375,872,MRPL54,12515,0,116541
A375,875,MDH1,3189,0,4190
A375,880,HAUS6,7311,0,54801
A375,882,A1BG,7097,0,1
A375,883,CLTC,2213,0,1213
A375,884,ATP1A4,9169,0,480
A375,888,PLRG1,3090,0,5356
A375,890,RGS6,10516,0,9628
A375,891,IL27,34082,0,246778
A375,894,NPHP4,35260,0,261734
A375,896,CNR1,9196,0,1268
A375,898,APBA1,11312,0,320
A375,901,DLAT,7775,0,1737
A375,903,GBP3,10947,0,2635
A375,905,UQCRB,5089,0,7381
A375,906,FARSA,494,0,2193
A375,907,TRIO,8737,0,7204
A375,910,SCD,2967,0,6319
A375,913,CACNA2D1,6289,0,781
A375,917,HRNR,58449,0,388697
A375,922,GAPVD1,7415,0,26130
A375,932,S100Z,56551,0,170591
A375,934,KCNF1,2695,0,3754
A375,935,TLK1,2409,0,9874
A375,938,MCAM,7045,0,4162
A375,939,TIAM2,13423,0,26230
A375,942,PURA,7351,0,5813
A375,943,VNN1,34985,0,8876
A375,945,ATAD5,8700,0,79915
A375,950,CST1,3818,0,1469
A375,953,NDUFA8,210,0,4702
A375,956,BBS1,2526,0,582
A375,957,AREL1,12396,0,9870
A375,959,ETF1,2116,0,2107
A375,962,DHX38,8207,0,9785
A375,963,PTBP1,637,0,5725
A375,967,SPAG5,3445,0,10615
A375,969,RPL29,6294,0,6159
A375,970,ERC1,798,0,23085
A375,972,LDHAL6B,10512,0,92483
A375,973,CRYZ,2232,0,1429
A375,976,SEPHS1,3201,0,22929
A375,982,CDCA8,424,0,55143
A375,992,TNFRSF13C,35115,0,115650
A375,993,CD7,12,0,924
A375,994,EIF2S1,3316,0,1965
A375,999,MCM7,2340,0,4176
A375,1005,SF3A2,218,0,8175
A375,1006,OAZ2,11122,0,4947
A375,1009,AP2A1,2008,0,160
A375,1010,CNOT11,6580,0,55571
A375,1012,DDX6,4610,0,1656
A375,1013,HLA-E,2283,0,3133
A375,1014,PFN2,5280,0,5217
A375,1016,RCN1,2812,0,5954
A375,1025,RBM39,3730,0,9584
A375,1030,LOXL4,12879,0,84171
A375,1037,HBB,1093,0,3043
A375,1046,SERPINA1,1928,0,5265
A375,1047,TOPBP1,2989,0,11073
A375,1057,NDUFV3,2894,0,4731
A375,1061,MMRN1,6554,0,22915
A375,1062,ALKBH7,5095,0,84266
A375,1067,RBMX2,5964,0,51634
A375,1070,ARL4A,9595,0,10124
A375,1072,TFAM,6751,0,7019
A375,1080,ENO1,3434,0,2023
A375,1083,HNRNPUL1,159,0,11100
A375,1086,RPL8,231,0,6132
A375,1089,KIAA2012,77453,0,100652824
A375,1090,BMS1,13483,0,9790
A375,1101,GLRX,7126,0,2745
A375,1105,TNNC1,2155,0,7134
A375,1106,RPLP1,1051,0,6176
A375,1108,ACTB,238,0,60
A375,1119,MAGEA4,6382,0,4103
A375,1120,MRPL57,856,0,78988
A375,1123,BMP15,9655,0,9210
A375,1125,TIMM9,11671,0,26520
A375,1126,WTAP,7273,0,9589
A375,1128,PDXP,56684,0,57026
A375,1130,P4HA2,700,0,8974
A375,1133,KCNA1,874,0,3736
A375,1135,TYROBP,5834,0,7305
A375,1139,APOOL,5596,0,139322
