cell_name,nodea_name,nodeb_name,nodea_primekgid,nodeb_primekgid,label,cell_id
A375,GMNN,NAE1,1974,5209,1.0,0
A375,C19orf54,NAE1,9973,5209,1.0,0
A375,MTERF4,NAE1,8808,5209,1.0,0
A375,BIRC2,NAE1,2131,5209,1.0,0
A375,CFTR,NAE1,3384,5209,1.0,0
A375,C1orf112,NAE1,9283,5209,1.0,0
A375,HLCS,NAE1,3045,5209,1.0,0
A375,ACTRT2,NAE1,34888,5209,1.0,0
A375,ACTR1B,NAE1,2897,5209,1.0,0
A375,KLHL1,NAE1,10648,5209,1.0,0
A375,CHAT,NAE1,6606,5209,1.0,0
A375,CXCR4,NAE1,6088,5209,1.0,0
A375,CLDN23,NAE1,12810,5209,1.0,0
A375,LTBP3,NAE1,10649,5209,1.0,0
A375,ERCC8,NAE1,1389,5209,1.0,0
A375,ASF1B,NAE1,7270,5209,1.0,0
A375,YBEY,NAE1,6345,5209,1.0,0
A375,APLP1,NAE1,7377,5209,1.0,0
A375,TCAF1,NAE1,6277,5209,1.0,0
A375,CCNE1,NAE1,406,5209,1.0,0
A375,DCC,NAE1,4200,5209,1.0,0
A375,CSF2RB,NAE1,7517,5209,1.0,0
A375,CDC25C,NAE1,2994,5209,1.0,0
A375,FDCSP,NAE1,57261,5209,1.0,0
A375,CASP14,NAE1,6539,5209,1.0,0
A375,CARD14,NAE1,13745,5209,1.0,0
A375,KIF23,NAE1,3592,5209,1.0,0
A375,LAMA2,NAE1,7299,5209,1.0,0
A375,MOGAT2,NAE1,13323,5209,1.0,0
A375,ENPP1,NAE1,3471,5209,1.0,0
A375,KYAT1,NAE1,1186,5209,1.0,0
A375,DUSP13,NAE1,10779,5209,1.0,0
A375,HIF1A,NAE1,497,5209,1.0,0
A375,FASLG,NAE1,4676,5209,1.0,0
A375,CUL4B,NAE1,3011,5209,1.0,0
A375,HDX,NAE1,9628,5209,1.0,0
A375,MCPH1,NAE1,6546,5209,1.0,0
A375,CHMP1A,NAE1,1524,5209,1.0,0
A375,BCL2L12,NAE1,60251,5209,1.0,0
A375,PARP1,WEE1,568,3249,1.0,0
A375,IKBKB,NAE1,973,5209,1.0,0
A375,JUN,NAE1,326,5209,1.0,0
A375,DAZL,NAE1,9685,5209,1.0,0
A375,FGF5,NAE1,12380,5209,1.0,0
A375,HDAC1,NAE1,1097,5209,1.0,0
A375,COL4A4,NAE1,11545,5209,1.0,0
A375,BCL2L2,NAE1,536,5209,1.0,0
A375,MCM7,NAE1,2340,5209,1.0,0
A375,CLASP1,NAE1,3115,5209,1.0,0
A375,CRADD,NAE1,4421,5209,1.0,0
A375,FAHD2B,NAE1,57769,5209,1.0,0
A375,GNB1L,NAE1,9252,5209,1.0,0
A375,H2AX,NAE1,2094,5209,1.0,0
A375,LMTK2,NAE1,2279,5209,1.0,0
A375,ERCC6L,NAE1,6138,5209,1.0,0
A375,FAF1,NAE1,2856,5209,1.0,0
A375,FXR1,NAE1,229,5209,1.0,0
A375,TENT5A,NAE1,6768,5209,1.0,0
A375,CCN1,NAE1,8676,5209,1.0,0
A375,CAMKK2,NAE1,12491,5209,1.0,0
A375,DAPK2,NAE1,10222,5209,1.0,0
A375,ATRAID,NAE1,9688,5209,1.0,0
A375,ELMO1,NAE1,5926,5209,1.0,0
A375,ATG4C,NAE1,12098,5209,1.0,0
A375,MCM2,NAE1,1356,5209,1.0,0
A375,CUL1,NAE1,317,5209,1.0,0
A375,MLH1,NAE1,2423,5209,1.0,0
A375,DAPK3,NAE1,1196,5209,1.0,0
A375,ADGRB1,NAE1,3377,5209,1.0,0
A375,DNMT3B,NAE1,2382,5209,1.0,0
A375,ICAM1,NAE1,4968,5209,1.0,0
A375,H3C3,NAE1,3459,5209,1.0,0
A375,NAE1,PRCC,5209,7897,1.0,0
A375,NAE1,TRIB3,5209,3061,1.0,0
A375,NAE1,RIPK1,5209,294,1.0,0
A375,NAE1,NOD1,5209,2638,1.0,0
A375,NAE1,TMED3,5209,5929,1.0,0
A375,NAE1,PRKAA2,5209,2375,1.0,0
A375,NAE1,NAIP,5209,6210,1.0,0
A375,NAE1,PPM1F,5209,6575,1.0,0
A375,NAE1,NGFR,5209,2363,1.0,0
A375,NAE1,UBE2B,5209,1615,1.0,0
A375,NAE1,NFKB2,5209,3972,1.0,0
A375,NAE1,STK17B,5209,1341,1.0,0
A375,NAE1,PGLYRP1,5209,10059,1.0,0
A375,NAE1,RBBP6,5209,6039,1.0,0
A375,NAE1,RERG,5209,58329,1.0,0
A375,NAE1,SYCN,5209,61305,1.0,0
A375,NAE1,RNF113A,5209,5324,1.0,0
A375,NAE1,PRSS50,5209,9272,1.0,0
A375,NAE1,ZNF772,5209,57478,1.0,0
A375,NAE1,PAK4,5209,5978,1.0,0
A375,NAE1,NAA50,5209,10589,1.0,0
A375,NAE1,UBE2F,5209,57037,1.0,0
A375,NAE1,UBA3,5209,2997,1.0,0
A375,NAE1,TP53AIP1,5209,12627,1.0,0
