gene_1,gene_2,cell_line_origin,horlbeck_score_SL_score,gene1_primekg_index,gene2_primekg_index,label,cell_id
CFD,GZMM,A549,0.010833311,9094,3440,0,1
CTSG,GZMA,A549,0.00039223,2101,4679,0,1
CTSG,GZMB,A549,0.002004632,2101,2426,0,1
CTSG,GZMH,A549,-0.006172013,2101,10296,0,1
CTSG,GZMM,A549,0.002188753,2101,3440,0,1
GZMA,GZMB,A549,0.002473467,4679,2426,0,1
GZMA,GZMH,A549,-0.005047228,4679,10296,0,1
GZMA,GZMM,A549,-0.006020851,4679,3440,0,1
GZMB,GZMH,A549,-0.011820459,2426,10296,0,1
GZMB,GZMM,A549,0.001650408,2426,3440,0,1
GZMH,GZMM,A549,-0.0037746,10296,3440,0,1
CFL1,DSTN,A549,9.76e-06,958,6992,0,1
CHAT,CRAT,A549,-0.00040126,6606,6495,0,1
CPT1A,CRAT,A549,0.00334565,2481,6495,0,1
CRAT,CROT,A549,0.000565638,6495,9843,0,1
CHCHD3,CHCHD6,A549,-3.76e-05,5156,11203,0,1
CHUK,IKBKB,A549,-1.19e-05,2305,973,0,1
CKS1B,CKS2,A549,0.000183881,1074,2751,0,1
CLCN6,CLCN7,A549,2.98e-05,4448,37,0,1
CLK1,CLK3,A549,0.006420572,2857,1177,0,1
CLTC,CLTCL1,A549,5.23e-05,2213,3655,0,1
CNKSR1,CNKSR2,A549,-0.00238308,7204,9323,0,1
COPG1,COPG2,A549,-3.62e-07,8967,12138,0,1
CORO1A,CORO1B,A549,0.001243596,4382,180,0,1
CORO1A,CORO1C,A549,-0.007069859,4382,4498,0,1
CORO1B,CORO1C,A549,-0.004378824,180,4498,0,1
CPNE1,CPNE3,A549,0.003086736,4476,1417,0,1
FLT3,KIT,A549,0.003157802,1441,2108,0,1
KIT,PDGFRA,A549,0.002199852,2108,3772,0,1
KIT,PDGFRB,A549,0.002902837,2108,490,0,1
PDGFRA,PDGFRB,A549,0.002346541,3772,490,0,1
CSNK1A1L,TTBK2,A549,0.006776049,3126,34742,0,1
CSNK1G1,CSNK1G2,A549,0.004381374,10415,2172,0,1
CSNK1G1,CSNK1G3,A549,-0.008637869,10415,5413,0,1
CSNK1G2,CSNK1G3,A549,0.004493118,2172,5413,0,1
CSNK2A1,CSNK2A2,A549,-0.012538119,301,1829,0,1
CTSD,CTSE,A549,-0.002038882,3722,8410,0,1
CTSD,PGC,A549,0.002878803,3722,13003,0,1
CTSD,REN,A549,-0.000243178,3722,11136,0,1
CTSE,PGC,A549,-0.001854354,8410,13003,0,1
CTSE,REN,A549,-0.006326822,8410,11136,0,1
PGC,REN,A549,9.72e-05,13003,11136,0,1
CTSF,CTSK,A549,0.004867989,10874,4349,0,1
CTSF,CTSL,A549,0.002163842,10874,8022,0,1
CTSF,CTSV,A549,2.25e-05,10874,3140,0,1
CTSK,CTSL,A549,0.002147911,4349,8022,0,1
CTSK,CTSV,A549,0.000824394,4349,3140,0,1
CTSL,CTSV,A549,0.009774807,8022,3140,0,1
CUL1,CUL2,A549,0.000339529,317,308,0,1
CUL1,CUL3,A549,-0.007586765,317,2630,0,1
CUL1,CUL4A,A549,0.012353827,317,5440,0,1
CUL3,CUL4A,A549,-0.004734891,2630,5440,0,1
CUL3,CUL4B,A549,0.001185931,2630,3011,0,1
CUL4A,CUL4B,A549,-0.000585896,5440,3011,0,1
CUL7,CUL9,A549,5.72e-06,1910,9347,0,1
CYFIP1,CYFIP2,A549,-3.65e-06,4765,6520,0,1
DAPK1,DAPK2,A549,0.007414185,1286,10222,0,1
DAPK1,DAPK3,A549,-0.004315777,1286,1196,0,1
DAPK1,STK17A,A549,0.002724873,1286,4756,0,1
DAPK1,STK17B,A549,0.008599151,1286,1341,0,1
DAPK2,DAPK3,A549,-0.009428641,10222,1196,0,1
DAPK2,MYLK,A549,-0.002908137,10222,2331,0,1
DAPK2,STK17A,A549,-0.002811065,10222,4756,0,1
DAPK2,STK17B,A549,-0.000180106,10222,1341,0,1
DAPK3,MYLK,A549,-0.003625407,1196,2331,0,1
DAPK3,STK17A,A549,-0.006828223,1196,4756,0,1
DAPK3,STK17B,A549,0.002178352,1196,1341,0,1
STK17A,STK17B,A549,0.004476146,4756,1341,0,1
DCK,TK2,A549,0.001406832,4101,5952,0,1
PHKG1,PHKG2,A549,-0.000149595,10686,6031,0,1
DDX17,DDX5,A549,2e-05,7892,3839,0,1
DLAT,PDHX,A549,-4.03e-06,7775,10524,0,1
ACVR1,BMPR1A,A549,0.001061388,1995,1229,0,1
DNAJC15,DNAJC19,A549,0.001859436,11386,9987,0,1
DNM1,DNM3,A549,0.011338427,30,3711,0,1
DPF2,DPF3,A549,-0.001449245,3307,3110,0,1
DPP4,FAP,A549,-0.004523367,6108,6537,0,1
DTX1,DTX2,A549,-3.77e-05,1754,1202,0,1
DTX1,DTX4,A549,-0.004171838,1754,10759,0,1
DTX2,DTX4,A549,0.004466889,1202,10759,0,1
DUSP6,DUSP9,A549,0.001896903,5227,6189,0,1
MFGE8,NRP1,A549,0.004080832,11761,3346,0,1
ADAM12,ADAM15,A549,-0.003500312,4865,2926,0,1
ADAM12,ADAM28,A549,-0.000571029,4865,33945,0,1
ADAM12,ADAM9,A549,-0.010670914,4865,9023,0,1
ADAM15,ADAM28,A549,-0.002035833,2926,33945,0,1
ADAM15,ADAM9,A549,-0.002068122,2926,9023,0,1
ADAM2,ADAM9,A549,0.000746634,10080,9023,0,1
ADAM21,ADAM9,A549,-0.003490034,7426,9023,0,1
ADAM28,ADAM9,A549,-0.003477333,33945,9023,0,1
EGFR,ERBB2,A549,-0.001600403,125,822,0,1
EGFR,ERBB3,A549,-0.019857838,125,3378,0,1
ERBB2,ERBB3,A549,0.015632334,822,3378,0,1
EIF4A1,EIF4A3,A549,-0.001251325,2929,464,0,1
EIF4A2,EIF4A3,A549,0.00177702,1333,464,0,1
AZU1,PRTN3,A549,0.002571401,1071,11148,0,1
ELOVL2,ELOVL5,A549,0.003906561,5071,8231,0,1
EML1,EML4,A549,0.000259449,9119,11200,0,1
EPB42,TGM2,A549,0.008492027,393,1395,0,1
F13A1,TGM2,A549,-0.005052856,476,1395,0,1
EPHA1,EPHA4,A549,0.007225012,228,1469,0,1
EPHA1,EPHA5,A549,0.000565279,228,5976,0,1
EPHA1,EPHA7,A549,0.000901317,228,3872,0,1
EPHA4,EPHA5,A549,0.002653536,1469,5976,0,1
EPHA4,EPHA7,A549,-0.000345764,1469,3872,0,1
EPHA5,EPHA7,A549,-0.002234831,5976,3872,0,1
